== hero Dodge length=0.767
   t     hipsH  headH  handRH handLH  vR   vL   hipsDrift
  0.000  1.163  1.711  1.512  1.512    0.0   0.0  0.000
  0.033  1.131  1.676  1.354  1.349    5.9   5.1  0.007
  0.067  1.080  1.613  1.230  1.232    5.0   4.0  0.017
  0.100  1.048  1.518  1.152  1.086    3.9   4.4  0.021
  0.133  0.988  1.367  0.928  0.863    8.1   7.0  0.021
  0.167  0.898  1.209  0.728  0.726   11.1   6.7  0.021
  0.200  0.903  1.123  0.727  0.737    7.8   5.8  0.021
  0.233  0.963  1.067  0.671  0.664    1.8   3.9  0.021
  0.267  0.997  0.900  0.504  0.492    6.9   8.3  0.021
  0.300  0.904  0.586  0.427  0.322    9.8  12.5  0.021
  0.333  0.718  0.349  0.420  0.254    6.5  10.1  0.021
  0.367  0.416  0.129  0.361  0.211    2.2   6.8  0.021
  0.400  0.201  0.133  0.420  0.435    5.5   7.2  0.021
  0.433  0.265  0.457  0.349  0.626    6.7  15.2  0.021
  0.467  0.292  0.648  0.246  0.621    3.3  10.3  0.021
  0.500  0.424  0.859  0.344  0.670    5.1   5.3  0.021
  0.533  0.603  1.064  0.570  0.768    8.1   4.3  0.021
  0.567  0.770  1.254  0.774  0.898    6.7   6.2  0.021
  0.600  0.927  1.425  0.928  1.005    5.2   4.5  0.021
  0.633  1.046  1.557  1.036  1.081    3.8   2.9  0.021
  0.667  1.098  1.619  1.101  1.114    2.2   1.6  0.021
  0.700  1.104  1.628  1.125  1.101    0.9   1.0  0.021
  0.733  1.095  1.619  1.111  1.092    1.3   0.4  0.021
  0.767  1.091  1.613  1.102  1.091    0.8   0.4  0.021
== hero Cast length=0.600
   t     hipsH  headH  handRH handLH  vR   vL   hipsDrift
  0.000  1.163  1.711  1.512  1.512    0.0   0.0  0.000
  0.033  1.113  1.657  1.340  1.387    5.6   8.3  0.025
  0.067  1.052  1.575  1.232  1.197    5.1   8.8  0.040
  0.100  1.027  1.541  1.206  1.225    3.7   3.1  0.038
  0.133  1.031  1.553  1.194  1.364    1.9   4.7  0.051
  0.167  1.018  1.545  1.160  1.402    1.4   1.6  0.076
  0.200  1.008  1.535  1.139  1.401    0.8   0.3  0.088
  0.233  1.007  1.534  1.135  1.398    0.1   0.1  0.088
  0.267  1.007  1.532  1.130  1.395    0.1   0.1  0.089
  0.300  1.007  1.531  1.126  1.392    0.1   0.1  0.089
  0.333  1.007  1.531  1.122  1.390    0.1   0.1  0.089
  0.367  1.008  1.532  1.119  1.388    0.1   0.1  0.088
  0.400  1.010  1.533  1.116  1.412    0.3   1.0  0.085
  0.433  1.013  1.538  1.122  1.435    1.1   0.7  0.077
  0.467  1.017  1.547  1.141  1.408    1.8   1.2  0.063
  0.500  1.019  1.554  1.157  1.327    1.5   3.5  0.048
  0.533  1.017  1.553  1.157  1.265    1.1   4.0  0.039
  0.567  1.007  1.541  1.145  1.221    1.1   2.3  0.032
  0.600  0.993  1.521  1.125  1.174    1.0   1.8  0.027
== hero Hit length=0.700
   t     hipsH  headH  handRH handLH  vR   vL   hipsDrift
  0.000  1.163  1.711  1.512  1.512    0.0   0.0  0.000
  0.033  1.068  1.610  1.293  1.389    6.7   7.7  0.010
  0.067  0.943  1.465  1.029  1.189    8.5  10.7  0.023
  0.100  0.886  1.399  0.901  1.116    4.4   5.0  0.030
  0.133  0.893  1.409  0.889  1.124    0.6   1.6  0.030
  0.167  0.900  1.415  0.881  1.183    0.6   2.5  0.030
  0.200  0.907  1.422  0.876  1.253    0.5   2.2  0.030
  0.233  0.913  1.428  0.874  1.298    0.2   1.4  0.030
  0.267  0.918  1.431  0.875  1.321    0.1   0.9  0.030
  0.300  0.918  1.431  0.877  1.338    0.2   1.0  0.030
  0.333  0.917  1.428  0.880  1.339    0.3   0.8  0.030
  0.367  0.913  1.423  0.894  1.323    0.7   1.1  0.030
  0.400  0.909  1.417  0.908  1.306    0.7   1.1  0.030
  0.433  0.904  1.411  0.921  1.287    0.6   0.9  0.030
  0.467  0.899  1.404  0.935  1.267    0.6   0.9  0.030
  0.500  0.893  1.397  0.948  1.248    0.6   0.9  0.030
  0.533  0.888  1.388  0.963  1.228    0.6   0.9  0.030
  0.567  0.886  1.385  0.964  1.222    0.1   0.3  0.030
  0.600  0.884  1.381  0.966  1.217    0.1   0.3  0.030
  0.633  0.881  1.378  0.968  1.212    0.1   0.3  0.030
  0.667  0.879  1.374  0.970  1.206    0.2   0.3  0.030
  0.700  0.877  1.370  0.973  1.200    0.2   0.3  0.030
== hero Death length=2.300
   t     hipsH  headH  handRH handLH  vR   vL   hipsDrift
  0.000  1.163  1.711  1.512  1.512    0.0   0.0  0.000
  0.033  1.107  1.653  1.329  1.330    6.3   7.5  0.009
  0.067  1.028  1.563  1.152  1.212    7.6   7.0  0.021
  0.100  0.988  1.509  1.090  1.238    3.8   1.5  0.027
  0.133  0.996  1.511  1.124  1.249    1.4   1.5  0.027
  0.167  1.010  1.525  1.198  1.235    2.4   1.7  0.027
  0.200  1.022  1.543  1.298  1.201    3.1   1.4  0.027
  0.233  1.033  1.559  1.414  1.160    3.5   1.5  0.027
  0.267  1.042  1.570  1.523  1.118    3.5   1.7  0.027
  0.300  1.049  1.577  1.620  1.074    3.6   1.9  0.027
  0.333  1.055  1.581  1.690  1.038    3.2   2.0  0.027
  0.367  1.061  1.583  1.735  1.015    2.6   2.0  0.027
  0.400  1.065  1.583  1.762  1.005    2.0   1.8  0.027
  0.433  1.069  1.582  1.773  1.006    1.5   1.5  0.027
  0.467  1.073  1.582  1.774  1.017    1.2   0.6  0.027
  0.500  1.075  1.581  1.766  1.033    0.7   0.6  0.027
  0.533  1.077  1.583  1.754  1.051    0.6   1.0  0.027
  0.567  1.077  1.585  1.737  1.072    0.8   1.3  0.027
  0.600  1.076  1.588  1.722  1.087    0.9   0.9  0.027
  0.633  1.075  1.591  1.706  1.105    0.9   0.9  0.027
  0.667  1.074  1.594  1.689  1.123    0.9   0.9  0.027
  0.700  1.071  1.595  1.683  1.128    1.1   0.5  0.027
  0.733  1.069  1.596  1.675  1.133    1.1   0.5  0.027
  0.767  1.067  1.597  1.665  1.138    1.1   0.5  0.027
  0.800  1.064  1.596  1.653  1.143    1.1   0.5  0.027
  0.833  1.062  1.596  1.639  1.149    1.1   0.5  0.027
  0.867  1.060  1.595  1.625  1.154    1.1   0.5  0.027
  0.900  1.053  1.590  1.609  1.156    1.2   0.4  0.027
  0.933  1.047  1.584  1.593  1.159    1.2   0.4  0.027
  0.967  1.041  1.578  1.575  1.161    1.2   0.4  0.027
  1.000  1.035  1.572  1.557  1.163    1.2   0.4  0.027
  1.033  1.025  1.560  1.540  1.161    1.0   0.4  0.027
  1.067  1.014  1.549  1.524  1.160    1.0   0.4  0.027
  1.100  0.998  1.531  1.507  1.154    0.9   0.4  0.027
  1.133  0.976  1.508  1.486  1.144    0.9   0.4  0.027
  1.167  0.952  1.481  1.465  1.131    0.8   0.4  0.027
  1.200  0.926  1.452  1.441  1.117    0.8   0.5  0.027
  1.233  0.895  1.417  1.410  1.097    1.0   0.6  0.027
  1.267  0.864  1.382  1.380  1.078    1.0   0.6  0.027
  1.300  0.827  1.340  1.341  1.054    1.2   0.8  0.027
  1.333  0.780  1.284  1.285  1.019    1.7   1.1  0.027
  1.367  0.732  1.228  1.231  0.984    1.6   1.1  0.027
  1.400  0.684  1.171  1.176  0.950    1.6   1.1  0.027
  1.433  0.606  1.074  1.082  0.875    2.9   2.4  0.027
  1.467  0.528  0.976  0.987  0.797    2.9   2.5  0.027
  1.500  0.450  0.876  0.892  0.715    2.8   2.6  0.027
  1.533  0.375  0.764  0.783  0.639    3.6   2.6  0.027
  1.567  0.300  0.649  0.669  0.555    3.6   2.8  0.027
  1.600  0.248  0.530  0.522  0.481    5.3   2.7  0.027
  1.633  0.230  0.416  0.384  0.408    4.9   2.6  0.027
  1.667  0.223  0.314  0.297  0.357    2.7   2.1  0.027
  1.700  0.234  0.284  0.253  0.324    1.6   1.8  0.027
  1.733  0.246  0.253  0.204  0.282    1.6   1.9  0.027
  1.767  0.257  0.222  0.158  0.231    1.4   2.0  0.027
  1.800  0.266  0.237  0.139  0.208    0.6   1.0  0.027
  1.833  0.264  0.251  0.148  0.186    0.4   0.8  0.027
  1.867  0.261  0.265  0.159  0.164    0.5   0.8  0.027
