== hero Attack2 length=0.567
   t     hipsH  headH  handRH handLH  vR   vL   hipsDrift
  0.000  1.163  1.711  1.512  1.512    0.0   0.0  0.000
  0.033  1.118  1.661  1.333  1.392    9.2   9.2  0.075
  0.067  1.075  1.601  1.164  1.304   10.8  16.4  0.319
  0.100  1.023  1.548  1.239  1.257   13.2   2.5  0.751
  0.133  1.036  1.561  1.337  1.237   10.9   5.6  1.023
  0.167  1.048  1.587  1.430  1.272   19.3  11.2  1.298
  0.200  1.055  1.597  1.468  1.190   18.3   9.1  1.543
  0.233  1.017  1.550  1.420  1.068   19.5  11.2  1.806
  0.267  0.973  1.483  1.203  1.046   16.1  17.8  2.174
  0.300  0.975  1.450  1.255  1.050    9.8  14.6  2.497
  0.333  0.998  1.458  1.294  1.079   13.7  11.2  2.708
  0.367  0.999  1.468  1.195  1.120    9.6  10.0  2.907
  0.400  0.954  1.437  1.080  1.136    5.8   7.4  3.054
  0.433  0.937  1.426  1.054  1.168    4.5   2.7  3.122
  0.467  0.967  1.465  1.138  1.190    5.9   4.3  3.159
  0.500  0.981  1.487  1.193  1.207    5.2   6.1  3.168
  0.533  0.981  1.494  1.211  1.212    5.4   6.6  3.166
  0.567  0.981  1.500  1.228  1.217    5.4   6.6  3.164
== hero Attack3 length=0.767
   t     hipsH  headH  handRH handLH  vR   vL   hipsDrift
  0.000  1.163  1.711  1.512  1.512    0.0   0.0  0.000
  0.033  1.106  1.652  1.343  1.370    5.9   7.2  0.014
  0.067  1.028  1.566  1.254  1.258    5.8   7.1  0.011
  0.100  0.981  1.515  1.359  1.193    4.3   2.2  0.022
  0.133  0.974  1.512  1.454  1.158    2.9   2.8  0.023
  0.167  0.972  1.516  1.488  1.125    2.8   4.1  0.018
  0.200  0.973  1.519  1.424  1.096    2.5   3.3  0.026
  0.233  0.975  1.519  1.418  1.079    4.1   2.6  0.033
  0.267  0.977  1.511  1.472  1.055    4.5   1.9  0.036
  0.300  0.977  1.496  1.583  1.095    7.2   1.5  0.037
  0.333  0.977  1.484  1.651  1.180   10.2   2.7  0.041
  0.367  0.976  1.480  1.567  1.231    7.3   2.5  0.047
  0.400  0.976  1.482  1.517  1.250    2.4   2.4  0.057
  0.433  0.975  1.487  1.536  1.258    3.6   2.6  0.074
  0.467  0.971  1.491  1.555  1.267    5.0   2.4  0.094
  0.500  0.972  1.500  1.531  1.264    5.5   2.1  0.105
  0.533  0.984  1.517  1.456  1.247    4.8   2.2  0.100
  0.567  0.996  1.531  1.370  1.218    3.4   2.3  0.077
  0.600  0.999  1.534  1.293  1.197    2.8   1.7  0.052
  0.633  0.998  1.532  1.227  1.184    2.6   1.2  0.037
  0.667  0.996  1.529  1.197  1.179    1.1   0.5  0.032
  0.700  0.995  1.527  1.174  1.174    0.9   0.3  0.029
  0.733  0.994  1.524  1.153  1.171    0.9   0.3  0.027
  0.767  0.993  1.521  1.134  1.168    0.8   0.3  0.027
== hero Attack1 length=0.533
   t     hipsH  headH  handRH handLH  vR   vL   hipsDrift
  0.000  1.163  1.711  1.512  1.512    0.0   0.0  0.000
  0.033  1.092  1.639  1.479  1.338    5.2   5.5  0.006
  0.067  0.985  1.517  1.494  1.126    8.4   7.2  0.015
  0.100  0.910  1.419  1.394  1.036    8.4   4.6  0.019
  0.133  0.893  1.391  1.273  1.004    9.6   3.1  0.019
  0.167  0.882  1.368  1.066  0.966   11.7   3.1  0.019
  0.200  0.877  1.348  0.922  0.927    9.0   3.1  0.019
  0.233  0.875  1.330  0.863  0.898    5.0   2.7  0.019
  0.267  0.875  1.311  0.847  0.890    2.3   1.9  0.019
  0.300  0.877  1.297  0.837  0.887    1.3   0.6  0.019
  0.333  0.879  1.286  0.825  0.878    0.8   0.3  0.019
  0.367  0.882  1.275  0.816  0.869    0.8   0.3  0.019
  0.400  0.884  1.263  0.807  0.859    0.8   0.3  0.019
  0.433  0.886  1.250  0.798  0.849    0.7   0.3  0.019
  0.467  0.889  1.237  0.788  0.839    0.5   0.3  0.019
  0.500  0.892  1.232  0.788  0.812    1.1   1.5  0.019
  0.533  0.895  1.238  0.802  0.775    2.0   3.0  0.019
