== hero Attack2 length=0.567
   t     hipsH  headH  handRH handLH  vR   vL
  0.000  1.163  1.711  1.512  1.512    0.0   0.0
  0.033  1.118  1.661  1.333  1.392    9.2   9.2
  0.067  1.075  1.601  1.164  1.304   10.8  16.4
  0.100  1.023  1.548  1.239  1.257   13.2   2.5
  0.133  1.036  1.561  1.337  1.237   10.9   5.6
  0.167  1.048  1.587  1.430  1.272   19.3  11.2
  0.200  1.055  1.597  1.468  1.190   18.3   9.1
  0.233  1.017  1.550  1.420  1.068   19.5  11.2
  0.267  0.973  1.483  1.203  1.046   16.1  17.8
  0.300  0.975  1.450  1.255  1.050    9.8  14.6
  0.333  0.998  1.458  1.294  1.079   13.7  11.2
  0.367  0.999  1.468  1.195  1.120    9.6  10.0
  0.400  0.954  1.437  1.080  1.136    5.8   7.4
  0.433  0.937  1.426  1.054  1.168    4.5   2.7
  0.467  0.967  1.465  1.138  1.190    5.9   4.3
  0.500  0.981  1.487  1.193  1.207    5.2   6.1
  0.533  0.981  1.494  1.211  1.212    5.4   6.6
  0.567  0.981  1.500  1.228  1.217    5.4   6.6
== hero Attack3 length=0.767
   t     hipsH  headH  handRH handLH  vR   vL
  0.000  1.163  1.711  1.512  1.512    0.0   0.0
  0.033  1.106  1.652  1.343  1.370    5.9   7.2
  0.067  1.028  1.566  1.254  1.258    5.8   7.1
  0.100  0.981  1.515  1.359  1.193    4.3   2.2
  0.133  0.974  1.512  1.454  1.158    2.9   2.8
  0.167  0.972  1.516  1.488  1.125    2.8   4.1
  0.200  0.973  1.519  1.424  1.096    2.5   3.3
  0.233  0.975  1.519  1.418  1.079    4.1   2.6
  0.267  0.977  1.511  1.472  1.055    4.5   1.9
  0.300  0.977  1.496  1.583  1.095    7.2   1.5
  0.333  0.977  1.484  1.651  1.180   10.2   2.7
  0.367  0.976  1.480  1.567  1.231    7.3   2.5
  0.400  0.976  1.482  1.517  1.250    2.4   2.4
  0.433  0.975  1.487  1.536  1.258    3.6   2.6
  0.467  0.971  1.491  1.555  1.267    5.0   2.4
  0.500  0.972  1.500  1.531  1.264    5.5   2.1
  0.533  0.984  1.517  1.456  1.247    4.8   2.2
  0.567  0.996  1.531  1.370  1.218    3.4   2.3
  0.600  0.999  1.534  1.293  1.197    2.8   1.7
  0.633  0.998  1.532  1.227  1.184    2.6   1.2
  0.667  0.996  1.529  1.197  1.179    1.1   0.5
  0.700  0.995  1.527  1.174  1.174    0.9   0.3
  0.733  0.994  1.524  1.153  1.171    0.9   0.3
  0.767  0.993  1.521  1.134  1.168    0.8   0.3
== hero Dodge length=0.767
   t     hipsH  headH  handRH handLH  vR   vL
  0.000  1.163  1.711  1.512  1.512    0.0   0.0
  0.033  1.131  1.676  1.354  1.349    5.9   5.1
  0.067  1.080  1.613  1.230  1.232    5.0   4.0
  0.100  1.048  1.518  1.152  1.086    3.9   4.4
  0.133  0.988  1.367  0.928  0.863    8.1   7.0
  0.167  0.898  1.209  0.728  0.726   11.1   6.7
  0.200  0.903  1.123  0.727  0.737    7.8   5.8
  0.233  0.963  1.067  0.671  0.664    1.8   3.9
  0.267  0.997  0.900  0.504  0.492    6.9   8.3
  0.300  0.904  0.586  0.427  0.322    9.8  12.5
  0.333  0.718  0.349  0.420  0.254    6.5  10.1
  0.367  0.416  0.129  0.361  0.211    2.2   6.8
  0.400  0.201  0.133  0.420  0.435    5.5   7.2
  0.433  0.265  0.457  0.349  0.626    6.7  15.2
  0.467  0.292  0.648  0.246  0.621    3.3  10.3
  0.500  0.424  0.859  0.344  0.670    5.1   5.3
  0.533  0.603  1.064  0.570  0.768    8.1   4.3
  0.567  0.770  1.254  0.774  0.898    6.7   6.2
  0.600  0.927  1.425  0.928  1.005    5.2   4.5
  0.633  1.046  1.557  1.036  1.081    3.8   2.9
  0.667  1.098  1.619  1.101  1.114    2.2   1.6
  0.700  1.104  1.628  1.125  1.101    0.9   1.0
  0.733  1.095  1.619  1.111  1.092    1.3   0.4
  0.767  1.091  1.613  1.102  1.091    0.8   0.4
== hero Cast length=0.600
   t     hipsH  headH  handRH handLH  vR   vL
  0.000  1.163  1.711  1.512  1.512    0.0   0.0
  0.033  1.113  1.657  1.340  1.387    5.6   8.3
  0.067  1.052  1.575  1.232  1.197    5.1   8.8
  0.100  1.027  1.541  1.206  1.225    3.7   3.1
  0.133  1.031  1.553  1.194  1.364    1.9   4.7
  0.167  1.018  1.545  1.160  1.402    1.4   1.6
  0.200  1.008  1.535  1.139  1.401    0.8   0.3
  0.233  1.007  1.534  1.135  1.398    0.1   0.1
  0.267  1.007  1.532  1.130  1.395    0.1   0.1
  0.300  1.007  1.531  1.126  1.392    0.1   0.1
  0.333  1.007  1.531  1.122  1.390    0.1   0.1
  0.367  1.008  1.532  1.119  1.388    0.1   0.1
  0.400  1.010  1.533  1.116  1.412    0.3   1.0
  0.433  1.013  1.538  1.122  1.435    1.1   0.7
  0.467  1.017  1.547  1.141  1.408    1.8   1.2
  0.500  1.019  1.554  1.157  1.327    1.5   3.5
  0.533  1.017  1.553  1.157  1.265    1.1   4.0
  0.567  1.007  1.541  1.145  1.221    1.1   2.3
  0.600  0.993  1.521  1.125  1.174    1.0   1.8
