== hero Dodge length=2.333
   t     hipsH  headH  handRH handLH  vR   vL
  0.000  1.163  1.711  1.512  1.512    0.0   0.0
  0.033  1.157  1.704  1.471  1.464    1.5   1.5
  0.067  1.143  1.689  1.395  1.383    2.8   2.5
  0.100  1.124  1.668  1.307  1.298    3.3   2.8
  0.133  1.103  1.643  1.235  1.235    2.8   2.2
  0.167  1.083  1.619  1.195  1.201    1.7   1.3
  0.200  1.069  1.599  1.185  1.188    0.5   0.4
  0.233  1.062  1.582  1.192  1.180    0.2   0.3
  0.267  1.059  1.563  1.193  1.158    0.5   0.7
  0.300  1.053  1.534  1.167  1.111    1.3   1.5
  0.333  1.036  1.488  1.108  1.039    2.3   2.2
  0.367  1.013  1.432  1.026  0.954    2.9   2.6
  0.400  0.993  1.377  0.942  0.874    3.1   2.6
  0.433  0.967  1.321  0.858  0.807    3.5   2.4
  0.467  0.935  1.267  0.783  0.756    3.8   2.3
  0.500  0.903  1.219  0.734  0.729    3.9   2.1
  0.533  0.879  1.175  0.710  0.717    3.6   2.1
  0.567  0.878  1.146  0.712  0.722    3.0   2.1
  0.600  0.897  1.126  0.726  0.736    2.0   1.9
  0.633  0.922  1.112  0.729  0.738    0.7   1.2
  0.667  0.946  1.103  0.716  0.708    0.6   1.5
  0.700  0.957  1.077  0.685  0.678    1.0   1.4
  0.733  0.974  1.044  0.640  0.635    1.5   1.8
  0.767  0.994  0.998  0.586  0.581    2.1   2.6
  0.800  1.001  0.932  0.527  0.521    2.6   3.1
  0.833  0.989  0.843  0.467  0.449    3.3   4.2
  0.867  0.961  0.732  0.437  0.380    3.5   4.4
  0.900  0.922  0.624  0.433  0.335    3.2   3.9
  0.933  0.875  0.531  0.421  0.311    2.8   3.6
  0.967  0.819  0.450  0.412  0.289    2.7   3.4
  1.000  0.752  0.380  0.420  0.267    1.7   3.2
  1.033  0.673  0.315  0.421  0.243    0.9   3.3
  1.067  0.579  0.240  0.402  0.224    0.7   2.9
  1.100  0.468  0.163  0.376  0.212    0.8   1.2
  1.133  0.360  0.104  0.347  0.215    0.9   1.8
  1.167  0.273  0.081  0.358  0.277    1.1   2.6
  1.200  0.213  0.093  0.407  0.379    3.0   3.1
  1.233  0.189  0.170  0.413  0.476    3.4   3.9
  1.267  0.206  0.265  0.388  0.560    2.6   5.5
  1.300  0.257  0.402  0.372  0.617    2.1   5.7
  1.333  0.271  0.497  0.329  0.625    1.6   4.0
  1.367  0.263  0.552  0.277  0.620    1.6   3.5
  1.400  0.272  0.608  0.247  0.617    1.2   3.6
  1.433  0.305  0.671  0.247  0.619    1.4   3.3
  1.467  0.343  0.735  0.265  0.631    1.4   2.5
  1.500  0.389  0.811  0.308  0.654    1.9   1.4
  1.533  0.443  0.884  0.367  0.678    2.5   0.9
  1.567  0.501  0.948  0.433  0.703    2.7   1.0
  1.600  0.562  1.015  0.513  0.740    2.8   1.7
  1.633  0.621  1.085  0.595  0.779    2.7   2.1
  1.667  0.674  1.148  0.668  0.821    2.4   2.1
  1.700  0.729  1.209  0.733  0.865    2.1   2.1
  1.733  0.785  1.270  0.789  0.909    1.9   2.0
  1.767  0.840  1.330  0.842  0.950    1.8   1.8
  1.800  0.892  1.386  0.892  0.984    1.7   1.5
  1.833  0.937  1.435  0.938  1.011    1.6   1.1
  1.867  0.979  1.480  0.977  1.036    1.3   1.0
  1.900  1.018  1.524  1.011  1.062    1.2   1.0
  1.933  1.052  1.564  1.042  1.085    1.1   0.8
  1.967  1.076  1.593  1.067  1.102    0.9   0.7
  2.000  1.091  1.611  1.087  1.112    0.7   0.5
  2.033  1.099  1.621  1.103  1.115    0.5   0.4
  2.067  1.105  1.627  1.116  1.112    0.4   0.4
  2.100  1.106  1.629  1.124  1.106    0.3   0.4
  2.133  1.104  1.628  1.126  1.100    0.3   0.3
  2.167  1.101  1.625  1.122  1.097    0.4   0.2
  2.200  1.099  1.622  1.117  1.094    0.5   0.1
  2.233  1.095  1.618  1.111  1.092    0.5   0.1
  2.267  1.093  1.615  1.105  1.091    0.4   0.1
  2.300  1.092  1.614  1.102  1.091    0.2   0.1
  2.333  1.091  1.613  1.102  1.091    0.2   0.2
== hero Death length=2.300
   t     hipsH  headH  handRH handLH  vR   vL
  0.000  1.163  1.711  1.512  1.512    0.0   0.0
  0.033  1.149  1.697  1.465  1.465    1.6   1.9
  0.067  1.122  1.669  1.386  1.375    2.9   3.4
  0.100  1.089  1.631  1.302  1.286    3.5   3.6
